State,County,GeoFIPS,Region,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
IL,Crawford," ""17033""",3,Population (persons) 1/,Number of persons,19946,19735,19527,19766,19827,19915,20264,20579,20693,20894,21004,20925,21318,21292,21229,21079,20896,20740,20404,20058,19787,19390,20046,20482,20649,20856,20856,20891,20782,20717,20623,20411,20363,20204,20106,20059,20051,19966,19886,19831,19845,19801,19776,19588,19435,19285,19255,19133,18975,18830,18667
IL,Cumberland," ""17035""",3,Population (persons) 1/,Number of persons,9819,9736,9709,10144,10303,10379,10569,10648,10879,10953,10931,11074,11107,10966,10955,10927,10879,10792,10753,10744,10659,10692,10773,10832,10940,11036,11096,11198,11186,11170,11186,11318,11238,11171,11066,11078,11057,11103,11077,11100,11044,11053,11080,10950,10904,10923,10860,10868,10880,10804,10766
IL,DeKalb," ""17037""",3,Population (persons) 1/,Number of persons,69686,71630,71744,72202,70942,71378,72649,73141,73705,72924,74045,74699,74853,74399,73711,72697,72978,74011,74844,75789,76625,78347,79564,80421,81682,82850,82810,83947,85078,86402,88010,89237,90545,91951,94096,96106,98438,101437,103746,104601,105146,105145,104450,104365,104202,104560,104195,104080,104309,104349,104897
IL,De Witt," ""17039""",3,Population (persons) 1/,Number of persons,17003,16957,17029,17363,17583,17386,17602,17698,17910,18138,18093,18126,18168,17861,17673,17584,17442,17136,16741,16620,16543,16554,16613,16677,16726,16854,16824,16736,16757,16781,16764,16800,16792,16673,16686,16671,16716,16792,16742,16733,16538,16590,16548,16491,16373,16217,16184,16137,15906,15794,15638
IL,Douglas," ""17041""",3,Population (persons) 1/,Number of persons,19065,18955,18934,19198,19286,19497,19819,20155,19970,19850,19793,19816,19950,19793,19763,19590,19552,19663,19665,19534,19444,19460,19457,19460,19545,19648,19777,19793,19909,19918,19905,19964,20032,20017,20010,20100,20101,20111,20061,19970,19949,19983,19871,19888,19861,19906,19835,19727,19629,19458,19465
IL,DuPage," ""17043""",3,Population (persons) 1/,Number of persons,472417,492894,506444,518907,539519,550404,567815,580200,602873,621487,636559,661290,669770,682289,690201,701251,714497,726512,741405,757986,771288,785768,801291,815497,830865,845797,855531,863785,874404,886168,898083,906284,911474,913880,914078,913940,911378,908685,907426,909798,912732,917983,924831,928666,932231,933425,933609,931256,930265,927247,922921
IL,Edgar," ""17045""",3,Population (persons) 1/,Number of persons,21752,21569,21496,21578,21591,21513,21620,21689,21746,21512,21775,21794,22034,21729,21674,21251,20968,20729,20386,20016,19810,19554,19496,19507,19746,19911,20132,20303,20090,20020,19821,19582,19465,19249,19085,19041,18987,18986,18929,18768,18668,18508,18391,18158,17941,17807,17603,17519,17390,17360,17161
IL,Edwards," ""17047""",3,Population (persons) 1/,Number of persons,7178,7071,7043,7187,7333,7432,7576,7749,7784,7765,7852,7993,8110,8129,8165,8220,8153,8029,7898,7744,7578,7422,7400,7389,7307,7246,7262,7177,7076,7020,6954,6963,6879,6856,6883,6825,6796,6694,6728,6710,6675,6734,6669,6721,6687,6628,6511,6536,6448,6387,6395
IL,Effingham," ""17049""",3,Population (persons) 1/,Number of persons,24537,24742,25352,26021,26367,26841,28044,28720,29471,29940,30443,31089,31616,31167,31400,31208,31354,31282,31370,31494,31644,31759,31945,32140,32419,32827,33120,33498,33704,33910,34164,34248,34334,34281,34408,34497,34365,34289,34191,34173,34275,34224,34270,34273,34217,34122,34202,34170,34123,34181,34008
IL,Fayette," ""17051""",3,Population (persons) 1/,Number of persons,20936,20778,20993,21149,21135,21318,21282,21507,21692,22032,22042,22229,22444,22282,22397,22058,21788,21665,21440,21253,21051,20894,20743,20786,20968,21005,21203,21408,21929,21894,21786,21827,21695,21814,21514,21056,21848,21925,21890,22006,22089,22131,22378,22163,22195,22076,22036,21570,21514,21368,21336
IL,Ford," ""17053""",3,Population (persons) 1/,Number of persons,16455,16203,15585,15254,15596,15350,15318,15317,15043,15196,15259,15318,15506,15311,15220,15014,14921,14854,14642,14589,14550,14226,14063,14045,13994,14011,14232,14239,14274,14223,14260,14195,14148,14118,14095,14135,14092,14096,14213,14095,14084,14081,13881,13879,13672,13540,13529,13352,13298,13212,12961
IL,Franklin," ""17055""",3,Population (persons) 1/,Number of persons,38531,38556,39637,39166,40488,40705,41444,42207,42602,42765,42690,43393,44084,43561,43726,43098,42969,42844,42145,41264,40627,40242,40048,39824,39869,39938,39971,40095,39624,39334,39126,39003,38798,38893,39066,39298,39587,39560,39473,39546,39482,40035,40033,39865,39555,39446,39383,39075,38995,38695,38469
IL,Fulton," ""17057""",3,Population (persons) 1/,Number of persons,42020,41993,42519,42786,43001,43270,43413,43637,43704,44127,43584,43737,43863,43107,42341,41281,39793,38649,38304,38133,38070,38077,38186,38347,38328,38357,38443,38840,38616,38454,38434,38216,37880,37587,37705,37630,37452,37387,37272,37224,37090,37076,36910,36587,36323,35995,35713,35473,35104,34830,34340
IL,Gallatin," ""17059""",3,Population (persons) 1/,Number of persons,7463,7453,7682,7639,7473,7589,7665,7604,7834,7619,7836,7644,7850,7719,7718,7644,7602,7490,7309,7077,6952,6902,6787,6778,6788,6723,6666,6654,6544,6512,6477,6405,6279,6144,6117,6071,6030,5980,5883,5796,5631,5573,5490,5390,5386,5278,5221,5157,5071,5045,4828
IL,Greene," ""17061""",3,Population (persons) 1/,Number of persons,17097,16948,16775,17099,17250,17142,17253,17287,17296,16934,16814,16703,16846,16519,16262,15986,15874,15695,15590,15519,15340,15314,15156,15069,15206,15190,15166,15075,15066,14982,14832,14752,14620,14622,14558,14411,14382,14167,14001,13956,13926,13890,13856,13656,13633,13415,13345,13123,13156,13065,12969
IL,Grundy," ""17063""",3,Population (persons) 1/,Number of persons,26173,26683,27425,27967,28068,27952,28387,28805,29432,30375,30450,30665,30948,30677,30619,30735,30845,31024,31313,31575,31951,32494,33255,33755,34263,34685,35073,35651,36263,36732,37121,37704,38320,38865,39819,41410,44181,46534,48175,49166,49702,50154,50099,50160,50187,50287,50363,50317,50622,50973,51054
IL,Hamilton," ""17065""",3,Population (persons) 1/,Number of persons,8803,8650,8708,8712,8718,8804,8804,8861,9103,9212,9373,9211,9351,9271,9280,9166,9086,8919,8841,8750,8599,8487,8478,8473,8501,8493,8599,8633,8674,8695,8688,8602,8527,8440,8431,8525,8471,8497,8416,8454,8448,8446,8425,8388,8348,8314,8248,8186,8181,8148,8116
IL,Hancock," ""17067""",3,Population (persons) 1/,Number of persons,23812,23547,23240,22824,23008,22813,22886,23154,23376,23494,23837,23950,24200,23781,23562,23247,22720,22308,22051,21729,21441,21346,21319,21409,21349,21134,20971,20844,20593,20523,20266,20148,20069,19794,19673,19577,19479,19412,19359,19192,19080,19091,18999,18829,18544,18324,18216,18205,17958,17828,17708
IL,Hardin," ""17069""",3,Population (persons) 1/,Number of persons,5008,4910,4923,5019,5110,5105,5232,5313,5296,5366,5517,5409,5506,5388,5400,5469,5369,5294,5356,5231,5223,5185,5117,5186,5223,5108,5077,4978,4914,4863,4824,4777,4765,4723,4724,4664,4615,4508,4462,4386,4344,4319,4294,4281,4177,4149,4067,3991,3922,3893,3821
IL,Henderson," ""17071""",3,Population (persons) 1/,Number of persons,8425,8439,8446,8438,8500,8469,8575,8549,8735,8866,9053,9123,9144,8976,8961,8799,8653,8418,8340,8316,8255,8058,8087,8190,8209,8106,8257,8260,8353,8292,8218,8172,8150,8078,7935,7912,7786,7614,7565,7463,7340,7343,7216,7043,6963,7011,6997,6886,6819,6697,6646
IL,Henry," ""17073""",3,Population (persons) 1/,Number of persons,52980,53044,52428,52802,53833,54792,56020,56182,56763,57406,58148,57918,57618,56769,56329,55530,54721,53681,52738,52101,51652,51063,50971,51058,50839,50956,51150,51075,50830,50789,51004,51078,50714,50454,50714,50509,50572,50392,50528,50492,50536,50452,50283,50249,49917,49824,49638,49498,49219,49069,48913
IL,Iroquois," ""17075""",3,Population (persons) 1/,Number of persons,33640,33600,34043,34099,34481,34020,33870,34068,33836,33690,33351,33088,33481,33081,32760,32541,32156,31765,31595,31209,30997,30783,30919,31200,31431,31493,31481,31649,31603,31494,31389,31386,31022,30805,30688,30493,30548,30308,30282,30228,29863,29701,29500,29267,28940,28719,28522,28163,27777,27484,27114
IL,Jackson," ""17077""",3,Population (persons) 1/,Number of persons,53446,55156,56417,56834,54871,54878,57349,60321,61379,60999,61168,61846,62529,62399,62538,61480,61440,61080,61215,60890,60956,61055,60699,61128,61798,61481,61099,60875,60607,60304,60026,59633,59530,58949,59282,59462,60006,60170,59518,59605,59664,60373,60369,59066,59760,59359,59214,58726,57904,57289,56750
IL,Jasper," ""17079""",3,Population (persons) 1/,Number of persons,10833,10730,10697,10970,10858,10984,11223,11267,11395,11234,11305,11349,11452,11491,11491,11289,11133,11135,10979,10888,10688,10607,10563,10536,10530,10528,10501,10465,10412,10387,10256,10067,10056,10015,9970,10010,9905,9807,9776,9786,9701,9725,9754,9672,9607,9633,9630,9583,9523,9624,9610
IL,Jefferson," ""17081""",3,Population (persons) 1/,Number of persons,31622,31952,32342,32666,33201,32991,33773,34470,35233,35480,35877,36837,37887,38004,38252,38281,38577,38103,37578,37171,36995,37088,37154,37293,38489,39094,39459,39557,39654,39695,39981,40041,39874,39805,39730,39638,39624,39545,39412,39277,38970,38755,38749,38658,38641,38374,38272,38214,38045,37708,37684
IL,Jersey," ""17083""",3,Population (persons) 1/,Number of persons,18399,18651,19322,19460,19530,19526,19689,19811,20044,20075,20441,20598,20802,20611,20551,20376,20243,20331,20510,20482,20528,20542,20780,20968,21129,20909,21193,21288,21448,21662,21659,21642,21751,22001,22126,22374,22500,22736,22838,23084,23060,22995,22879,22710,22599,22492,22260,21947,21912,21795,21773
IL,Jo Daviess," ""17085""",3,Population (persons) 1/,Number of persons,21835,21849,22313,22411,22332,22311,22701,23013,23285,23172,23487,23581,23786,23469,23185,22944,22871,22592,22294,22175,22069,21798,22008,21964,22276,22358,22252,22252,22249,22132,22242,22296,22486,22480,22701,22646,22680,22828,22758,22715,22685,22648,22640,22543,22399,22341,22066,21814,21495,21331,21235
IL,Johnson," ""17087""",3,Population (persons) 1/,Number of persons,7513,7538,7524,7779,8259,8624,8983,9187,9463,9480,9927,9691,9944,9964,10128,10275,10995,11173,11249,11314,11317,11324,11463,11587,11441,11849,12360,12594,12637,12931,12778,12836,12794,12454,12969,12903,12816,12889,12792,12671,12604,12604,12855,12856,12867,12887,12777,12454,12399,12423,12417
